,상품이름,가격(원가)
45,[아이미마인](15%쿠폰)브리치X아이미마인 BEST여름신상 티셔츠/원피스/블라우스/반팔니트/스커트/청바지/밴딩팬츠/자켓,"18,400원"
46,[반에이크](20%쿠폰) 미센스/반에이크 여름 오픈특가+봄 시즌오프 + 무료배송,"18,900원"
47,((한정수량))고퀄반팔6천원대~유닉심플여름/반팔/박스티/트레이닝셋업/블라우스/셔츠/나시/가디건/바람막이,"12,800원"
48,[저스트원](무료반품+15%+5%쿠폰) 베스트 모음 봄신상/셔츠/슬랙스/청바지/일자/긴팔/반팔/조끼/니트,"17,990원"
49,[폴햄]15+5%쿠폰|본사직영 폴햄 스프링페스타 셔츠/티셔츠/팬츠 외 빅스마일데이,"12,000원"
50,(5%+15%쿠폰 7920원) 남녀공용 오버핏 프린팅 반팔티 9405원 / 12720원 초특가 시즌얼리버드 특가,"9,900원"
51,[폴로랄프로렌]폴로티 로고 랄프로렌 커플 남녀공용 기본핏 클래식핏 반팔티셔츠,"24,900원"
52,1+1 쉽게입는 남성 시원한 기능성 트레이닝 바지 (SI3A1LP027M)A1,"12,400원"
53,[BYC](15+3%쿠폰) 제임스딘 BYC 여성 팬티 세트 맥시 순면 인견 텐셀 빅사이즈 노라인 여자 속옷 요일 위생 삼각,"9,780원"
54,[태그](20%쿠폰할인) 홈쇼핑 인기 BEST 빅사이즈 SS상품 단독특가 맨투맨/팬츠/원피스/슬랙스 무배,"9,900원"
55,15+5% 1+1+1 디커버스 프린팅/무지티 3장세트 장 당 6천원대 반팔티/무지티/쿨티/여성/남자/옷,"21,800원"
56,[이너리즘](쿠폰가16000원/4장세트)노와이어 심리스 V라인 후크끈브라 감동브라 노라인 심플 물방울 가슴골 15+12%쿠폰,"21,900원"
57,[지프스피릿]15+5% 국내출고 JEEP spirit (봄여름용) 남성 청바지 스판 남자 캐쥬얼 팬츠 지프 jeep - 26812,"39,600원"
58,[어나더디](쿠폰가12050원)(4개세트) 심리스 브라탑 4color 노라인 노와이어 스포츠 브라 (15+12%쿠폰),"16,500원"
59,[루시앙]((15+5%쿠폰)) 홈쇼핑BEST 인기신상 마감물량 파격세일/빅사이즈 55~99 한정수량 모음,"19,900원"
60,(S~3XL/20%쿠폰)자체제작/여름팬츠8천원대부터/린넨팬츠/여름데님/쿨팬츠/슬랙스/반바지/카고팬츠/빅사이즈,"10,900원"
61,[리베레츠](15%쿠폰) 9350원~홈쇼핑 봄여름 신상 팬츠/티셔츠/자켓 등 데일리 아이템 오픈,"29,900원"
62,(12670원 1+1) 여성 런닝 나시 데일리 브라캡 6칼라 /2장/무료배송/15%쿠폰 NY112,"14,900원"
63,[시크폭스](15%쿠폰) 시크폭스 단독특가 여름 신상 BEST /티셔츠/데님/니트/원피스/셋업/바람막이/자켓,"14,800원"
64,((히트상품)) 여름신상 균일가 8900원 무배/셔츠/원피스/티셔츠/티셔츠/세트/바람막이/미미나나,"8,900원"
65,[BYC](15+10%쿠폰) 브랜드 런닝 5매/남성/남자/여성/여자/아동/속옷/모시/인견/텐셀/쿨/면/반팔/세트/나시,"16,900원"
66,[푸마](1+1 무료배송)푸마 남성/여성 반팔 언더셔츠 이너셔츠 홈웨어 2종(90~115) 세트,"17,900원"
67,[데일리앤](15%+5%쿠폰) 데일리앤 자체제작BEST 봄/여름 신상 티셔츠 원피스 스커트 팬츠 /고퀄리티 주문폭주,"13,800원"
68,[스파오]무료배송+15% 스파오 티셔츠/셔츠/팬츠 이월 특가,"6,900원"
69,((10%쿠폰/오늘만 역마진SALE)) 시크릿무드 여름신상 팬츠/반팔/원피스/아우터 총출동,"8,800원"
70,[라이프폼]3장1세트 남성 여성 순면100% 무지 라운드 반팔 무지티 기본티 티셔츠 흰티 면티 반팔티,"13,900원"
71,[어나더디](쿠폰가10890원)(1+1) 더 아이 주니어 하이틴 심리스 브라탑 일체형 노와이어 2장 (15+12%쿠폰),"14,900원"
72,[파란](15+5%쿠폰)(무료배송) 브라썸/브라팬티세트 ABCD컵/왕뽕/빅사이즈/여성속옷/브라+팬티,"10,900원"
73,15%+5% 남녀공용 5부 오버핏 반팔티 남자 남성 여성 의류 루즈핏 박스티 커플 면 티 단체 라운드 티셔츠,"10,900원"
74,15%+5%여성의류 BEST모음(44-99)롱스커트/린넨바지/반팔티셔츠M.L/여성청바지/블라우스/치마바지/빅사이즈,"12,880원"
75,[올젠](대구신세계)올젠 2024 S/S 린넨 혼방 솔리드 티에리 카라 티셔츠 ZPE2TT1501,"22,730원"
76,(15+5%쿠폰)반팔티셔츠 M.L사이즈/브랜드퀄리티 롱 스커트/저온스 스판 청바지/빅카라 맨투맨/빅사이즈,"29,500원"
77,[비너스](10%쿠폰)비너스 비비안 70A~105G 빅사이즈 브라 팬티 세트 여성 속옷 노와이어 여자 브래지어 B C D E F컵,"9,780원"
78,[이지바이]1+1 기능성 남녀 트레이닝/바지/스판/티셔츠/추리닝/등산/빅사이즈 (XS3AAA1LP040M)A1,"12,400원"
